# Constructed from biom file
#OTU ID	SRR17868041	SRR17868042	SRR17868043	SRR17868044	SRR17868045	SRR17868046	SRR17868047	SRR17868048	SRR17868049	SRR17868050	SRR17868051	SRR17868052	SRR17868053	SRR17868054	SRR17868055	SRR17868056	SRR17868057	SRR17868058	SRR17868059	SRR17868060	SRR17868061	SRR17868062	SRR17868063	SRR17868064	SRR17868065	SRR17868066	SRR17868067	SRR17868068	SRR17868069	SRR17868070	SRR17868071	SRR17868072	SRR17868073	SRR17868074	SRR17868075	SRR17868076	SRR17868077	SRR17868078	SRR17868079	SRR17868080	SRR17868081	SRR17868082	SRR17868083	SRR17868084	SRR17868085	SRR17868086	SRR17868087	SRR17868088	SRR17868089	SRR17868090	SRR17868091	SRR17868092	SRR17868093	SRR17868094
ffc36e27c82042664a16bcd4d380b286	29.0	5246.0	288.0	18171.0	14630.0	12.0	10609.0	17232.0	13835.0	15876.0	5832.0	24418.0	19191.0	47493.0	26246.0	21485.0	21686.0	20269.0	11099.0	5095.0	45.0	25.0	20186.0	49.0	147.0	24.0	16308.0	50670.0	51206.0	13440.0	1363.0	5492.0	57.0	7244.0	36.0	9958.0	0.0	112.0	29.0	20.0	0.0	0.0	4485.0	52128.0	160.0	7582.0	16.0	0.0	147.0	18042.0	466.0	0.0	10472.0	12.0
41388070b02a7c162aa7245ce4812ebd	9241.0	706.0	5326.0	6562.0	7162.0	21279.0	12916.0	10873.0	9743.0	0.0	0.0	0.0	224.0	13582.0	30356.0	188.0	125.0	2923.0	1665.0	0.0	9509.0	2277.0	10050.0	1123.0	430.0	13745.0	8554.0	1560.0	1453.0	136.0	42707.0	7149.0	124.0	9673.0	407.0	2411.0	708.0	1740.0	12897.0	189.0	11953.0	660.0	48.0	5119.0	11958.0	6496.0	908.0	5794.0	22376.0	373.0	1405.0	651.0	3717.0	4838.0
d6dffb454cbb0b0c87367b03432c2b05	6536.0	101.0	0.0	148.0	0.0	9207.0	0.0	1515.0	265.0	968.0	0.0	68.0	186.0	0.0	4.0	0.0	94.0	742.0	0.0	627.0	79.0	0.0	0.0	4616.0	0.0	87.0	2403.0	71.0	1065.0	1365.0	36.0	0.0	29.0	2490.0	13261.0	2564.0	8178.0	51.0	8066.0	7753.0	0.0	1087.0	324.0	348.0	6459.0	0.0	0.0	13262.0	562.0	52.0	18.0	3867.0	277.0	153.0
d6403e5b4389d1c8f2e1c218c0a59134	23.0	93.0	97.0	0.0	3403.0	0.0	0.0	1168.0	2502.0	782.0	0.0	103.0	70.0	969.0	0.0	0.0	9376.0	2320.0	432.0	81.0	3030.0	0.0	0.0	0.0	1210.0	638.0	0.0	627.0	0.0	206.0	2473.0	905.0	0.0	570.0	873.0	3278.0	1782.0	0.0	771.0	0.0	4285.0	1088.0	7451.0	91.0	280.0	2664.0	0.0	1112.0	1637.0	153.0	14148.0	0.0	8005.0	4662.0
24522f7485582e07564aed7c426af59d	0.0	0.0	0.0	32.0	0.0	0.0	12.0	0.0	9279.0	1081.0	732.0	32.0	43.0	0.0	45.0	4.0	74.0	0.0	0.0	16698.0	0.0	0.0	0.0	1322.0	6261.0	14882.0	25.0	47.0	42.0	0.0	90.0	176.0	215.0	61.0	0.0	1284.0	0.0	2303.0	15.0	16.0	0.0	189.0	362.0	446.0	1727.0	0.0	3470.0	193.0	5973.0	7327.0	209.0	136.0	0.0	8354.0
ceaec4b3e38be8caaaf3ba52277fc320	3180.0	15.0	0.0	240.0	0.0	4064.0	0.0	0.0	19.0	335.0	14006.0	16.0	25.0	0.0	106.0	0.0	34.0	81.0	0.0	34.0	0.0	0.0	0.0	20906.0	0.0	444.0	669.0	0.0	809.0	457.0	0.0	454.0	0.0	1192.0	9541.0	1002.0	4324.0	2753.0	4117.0	3472.0	0.0	1666.0	110.0	157.0	2835.0	0.0	625.0	0.0	514.0	0.0	20.0	1917.0	493.0	105.0
dfa833b266bd2993b86feab3617b34c3	48.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	15.0	18885.0	8.0	0.0	8.0	138.0	8.0	35942.0	0.0	80.0	12.0	24.0	19.0	12.0	9.0	0.0	0.0	5.0	7.0	109.0	124.0	3297.0	14.0	0.0	0.0	0.0	71.0	39.0	22.0	5.0	0.0	64.0	0.0	131.0	20398.0	7.0	0.0	89.0	0.0	40.0	0.0	0.0	0.0
e2f6a531bc64c892b56a06d2aed991f7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7902.0	5819.0	2816.0	0.0	0.0	7817.0	0.0	4749.0	0.0	0.0	15100.0	4848.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2421.0	6885.0	2298.0	0.0	3959.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5416.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
384d4c681853c4875391719d0bda7221	1127.0	0.0	385.0	532.0	5762.0	0.0	881.0	3148.0	5017.0	5210.0	0.0	26136.0	0.0	0.0	100.0	114.0	0.0	341.0	0.0	0.0	0.0	11.0	229.0	2189.0	0.0	5620.0	1689.0	0.0	0.0	0.0	1840.0	71.0	0.0	2980.0	144.0	512.0	0.0	2217.0	227.0	11.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	22.0	0.0	249.0	0.0	146.0
38b7580c13cf081c9f279006c2dc70b9	0.0	0.0	602.0	54.0	1962.0	0.0	105.0	1849.0	143.0	1933.0	0.0	159.0	133.0	0.0	0.0	665.0	4133.0	51.0	0.0	93.0	1426.0	253.0	0.0	8698.0	21599.0	386.0	1168.0	0.0	0.0	6696.0	1509.0	0.0	982.0	405.0	0.0	361.0	100.0	0.0	0.0	45.0	158.0	45.0	57.0	242.0	79.0	0.0	0.0	6266.0	0.0	1131.0	681.0	0.0	0.0	0.0
