TaxonID	ToxinCarriage(icon)	ToxinCarriage	ToxinCarriage(n)	Mapping_of_original_species_names_to_new_names	LabelColor	
Klebsiella_michiganensis_strain_SCPM-O-B-9251_NZ_JAGRZA010000063_gene_copy-1	-	Negative	0	248	#808080	
Klebsiella_oxytoca_strain_SCPM-O-B-9254_NZ_JAGRYX010000066_gene_copy-1	+	Positive	1	249	#000000	
Klebsiella_pasteurii_strain_Sb-24_NZ_CP073236_consensus-1	+	Positive	1	250	#000000	
Klebsiella_pasteurii_strain_Sb-24_NZ_CP073236_consensus-2	+	Positive	1	251	#000000	
Klebsiella_michiganensis_strain_CZ598_NZ_CP073305_consensus-1	+	Positive	1	252	#000000	
Klebsiella_michiganensis_strain_Survcare371_NZ_JAFHGN010000089_gene_copy-1	+	Positive	1	253	#000000	
Klebsiella_michiganensis_strain_Survcare365_NZ_JAFHGH010000366_gene_copy-1	+	Positive	1	254	#000000	
Klebsiella_michiganensis_strain_NRZ-41473_NZ_JAFHOQ010000045_gene_copy-1	-	Negative	0	255	#808080	
Klebsiella_michiganensis_strain_NRZ-36825_NZ_JAFHNU010000055_gene_copy-1	-	Negative	0	256	#808080	
Klebsiella_michiganensis_strain_NRZ-36521_NZ_JAFHNS010000057_gene_copy-1	-	Negative	0	257	#808080	
Klebsiella_michiganensis_strain_NRZ-36109_NZ_JAFHNP010000119_gene_copy-1	-	Negative	0	258	#808080	
Klebsiella_michiganensis_strain_Survcare276_NZ_JAFIAS010000093_gene_copy-1	-	Negative	0	259	#808080	
Klebsiella_oxytoca_strain_Survcare179_NZ_JAFHXY010000044_gene_copy-1	+	Positive	1	260	#000000	
Klebsiella_michiganensis_strain_Survcare124_NZ_JAFHWD010000072_gene_copy-1	-	Negative	0	261	#808080	
Klebsiella_michiganensis_strain_Survcare126_NZ_JAFHWF010000053_gene_copy-1	-	Negative	0	262	#808080	
Klebsiella_michiganensis_strain_SurvCare087_NZ_JAFHUV010000061_gene_copy-1	-	Negative	0	263	#808080	
Klebsiella_oxytoca_strain_Survcare083-2_NZ_JAFHUR010000070_gene_copy-1	+	Positive	1	264	#000000	
Klebsiella_oxytoca_strain_Survcare074_NZ_JAFHUH010000068_gene_copy-1	+	Positive	1	265	#000000	
Klebsiella_oxytoca_strain_Survcare068-2_NZ_JAFHUC010000078_gene_copy-1	+	Positive	1	266	#000000	
Klebsiella_oxytoca_strain_Survcare066-2_NZ_JAFHTY010000071_gene_copy-1	+	Positive	1	267	#000000	
Klebsiella_oxytoca_strain_Survcare067-2_NZ_JAFHUA010000070_gene_copy-1	+	Positive	1	268	#000000	
Klebsiella_oxytoca_strain_Survcare063-2_NZ_JAFHTT010000073_gene_copy-1	+	Positive	1	269	#000000	
Klebsiella_oxytoca_strain_Survcare062-2_NZ_JAFHTR010000094_gene_copy-1	+	Positive	1	270	#000000	
Klebsiella_oxytoca_strain_Survcare061-2_NZ_JAFHTO010000071_gene_copy-1	+	Positive	1	271	#000000	
Klebsiella_oxytoca_strain_Survcare060_NZ_JAFHTM010000055_gene_copy-1	-	Negative	0	272	#808080	
Klebsiella_oxytoca_strain_Survcare051-1_NZ_JAFHTB010000081_gene_copy-1	+	Positive	1	273	#000000	
Klebsiella_grimontii_strain_NY3_NZ_CP079754_consensus-1	+	Positive	1	274	#000000	
Klebsiella_michiganensis_strain_Colony483_NZ_CP080008_consensus-1	-	Negative	0	275	#808080	
Klebsiella_michiganensis_strain_Colony517_NZ_CP080009_consensus-1	-	Negative	0	276	#808080	
Klebsiella_michiganensis_strain_Colony351_NZ_CP080010_consensus-1	-	Negative	0	277	#808080	
Klebsiella_michiganensis_strain_Colony351_NZ_CP080010_consensus-2	-	Negative	0	278	#808080	
Klebsiella_michiganensis_strain_CVUAS_NZ_NKTR01000133_gene_copy-1	+	Positive	1	279	#000000	
Klebsiella_michiganensis_strain_CVUAS_NZ_NKTP01000131_gene_copy-1	+	Positive	1	280	#000000	
Klebsiella_michiganensis_strain_CVUAS_NZ_NNBF01000052_gene_copy-1	-	Negative	0	281	#808080	
Klebsiella_oxytoca_strain_CVUAS_NZ_NMOU01000048_gene_copy-1	-	Negative	0	282	#808080	
Klebsiella_grimontii_strain_CVUAS_NZ_VYHY01000044_gene_copy-1	+	Positive	1	283	#000000	
Klebsiella_michiganensis_strain_CVUAS_NZ_PIZW01000211_gene_copy-1	-	Negative	0	284	#808080	
Klebsiella_michiganensis_strain_CVUAS_NZ_PIZX01000147_gene_copy-1	-	Negative	0	285	#808080	
Klebsiella_michiganensis_strain_CVUAS_NZ_QNRD01000087_gene_copy-1	-	Negative	0	286	#808080	
Klebsiella_oxytoca_strain_KO-16-21_NZ_JAIHLW010000105_gene_copy-1	+	Positive	1	287	#000000	
Klebsiella_michiganensis_strain_CCRI-24235_NZ_CP081351_consensus-1	-	Negative	0	288	#808080	
Klebsiella_michiganensis_strain_CCRI-24235_NZ_CP081351_consensus-2	-	Negative	0	289	#808080	
Klebsiella_grimontii_strain_M5aI_NZ_JAFHKG010000017_consensus-1	+	Positive	1	290	#000000	
Klebsiella_grimontii_strain_M5aI_NZ_JAFHKG010000018_consensus-2	+	Positive	1	291	#000000	
Klebsiella_michiganensis_strain_141125-16_NZ_VNNN01000126_gene_copy-1	-	Negative	0	292	#808080	
Klebsiella_michiganensis_strain_DSM_NZ_VNWI01000061_gene_copy-1	-	Negative	0	293	#808080	
Klebsiella_oxytoca_strain_DSM_NZ_VNWH01000048_gene_copy-1	-	Negative	0	294	#808080	
Klebsiella_grimontii_strain_804720-15_NZ_VNVV01000112_gene_copy-1	+	Positive	1	295	#000000	
Klebsiella_oxytoca_strain_722058-16_NZ_VNVG01000057_gene_copy-1	+	Positive	1	296	#000000	
Klebsiella_michiganensis_strain_720807-16_NZ_VNVF01000159_gene_copy-1	-	Negative	0	297	#808080	
Klebsiella_oxytoca_strain_713447-17_NZ_VNUZ01000294_gene_copy-1	-	Negative	0	298	#808080	
Klebsiella_oxytoca_strain_713490-17_NZ_VNVA01000281_gene_copy-1	-	Negative	0	299	#808080	
Klebsiella_oxytoca_strain_712881-17_NZ_VNUX01000065_gene_copy-1	-	Negative	0	300	#808080	
Klebsiella_oxytoca_strain_711206-17_NZ_VNUU01000077_gene_copy-1	+	Positive	1	301	#000000	
Klebsiella_oxytoca_strain_711469-2009_NZ_VNUV01000088_gene_copy-1	+	Positive	1	302	#000000	
Klebsiella_oxytoca_strain_711093-17_NZ_VNUT01000070_gene_copy-1	-	Negative	0	303	#808080	
Klebsiella_grimontii_strain_710455-17_NZ_VNUQ01000058_gene_copy-1	+	Positive	1	304	#000000	
Klebsiella_grimontii_strain_710322-17_NZ_VNUP01000072_gene_copy-1	-	Negative	0	305	#808080	
Klebsiella_michiganensis_strain_710217-17_NZ_VNUO01000074_gene_copy-1	-	Negative	0	306	#808080	
Klebsiella_oxytoca_strain_709965-17_NZ_VNUN01000066_gene_copy-1	+	Positive	1	307	#000000	
Klebsiella_oxytoca_strain_709253-17_NZ_VNUL01000046_gene_copy-1	+	Positive	1	308	#000000	
Klebsiella_oxytoca_strain_709833-17_NZ_VNUM01000050_gene_copy-1	+	Positive	1	309	#000000	
Klebsiella_oxytoca_strain_708994-2009_NZ_VNUJ01000055_gene_copy-1	+	Positive	1	310	#000000	
Klebsiella_michiganensis_strain_707154-17_NZ_VNUF01000146_gene_copy-1	+	Positive	1	311	#000000	
Klebsiella_oxytoca_strain_708712-17_NZ_VNUG01000084_gene_copy-1	-	Negative	0	312	#808080	
Klebsiella_michiganensis_strain_706508-16_NZ_VNUD01000087_gene_copy-1	-	Negative	0	313	#808080	
Klebsiella_oxytoca_strain_706127-17_NZ_VNUC01000087_gene_copy-1	-	Negative	0	314	#808080	
Klebsiella_michiganensis_strain_705849-17_NZ_VNUB01000052_gene_copy-1	-	Negative	0	315	#808080	
Klebsiella_michiganensis_strain_705823-17_NZ_VNUA01000098_gene_copy-1	-	Negative	0	316	#808080	
Klebsiella_grimontii_strain_705420-17_NZ_VNTY01000069_gene_copy-1	+	Positive	1	317	#000000	
Klebsiella_oxytoca_strain_701520-2009_NZ_VNTS01000067_gene_copy-1	+	Positive	1	318	#000000	
Klebsiella_oxytoca_strain_700765-17_NZ_VNTQ01000083_gene_copy-1	-	Negative	0	319	#808080	
Klebsiella_oxytoca_strain_700570-17_NZ_VNTM01000115_gene_copy-1	-	Negative	0	320	#808080	
Klebsiella_grimontii_strain_700466-17_NZ_VNTJ01000047_gene_copy-1	+	Positive	1	321	#000000	
Klebsiella_oxytoca_strain_700456-16_NZ_VNTI01000056_gene_copy-1	+	Positive	1	322	#000000	
Klebsiella_michiganensis_strain_620286643710_NZ_VNTG01000130_gene_copy-1	-	Negative	0	323	#808080	
Klebsiella_michiganensis_strain_620288768518_NZ_VNTH01000149_gene_copy-1	-	Negative	0	324	#808080	
Klebsiella_michiganensis_strain_620278998915_NZ_VNTC01000051_gene_copy-1	-	Negative	0	325	#808080	
Klebsiella_michiganensis_strain_620286429714_NZ_VNTF01000621_gene_copy-1	-	Negative	0	326	#808080	
Klebsiella_grimontii_strain_620279031217_NZ_VNTD01000057_gene_copy-1	+	Positive	1	327	#000000	
Klebsiella_michiganensis_strain_620277132808_NZ_VNTB01000089_gene_copy-1	-	Negative	0	328	#808080	
Klebsiella_grimontii_strain_620273821510-17_NZ_VNTA01000090_gene_copy-1	+	Positive	1	329	#000000	
Klebsiella_grimontii_strain_620271411010-17_NZ_VNSY01000039_gene_copy-1	+	Positive	1	330	#000000	
Klebsiella_michiganensis_strain_620267602911_NZ_VNSX01000075_gene_copy-1	-	Negative	0	331	#808080	
Klebsiella_michiganensis_strain_620272244309_NZ_VNSZ01000090_gene_copy-1	-	Negative	0	332	#808080	
Klebsiella_michiganensis_strain_620263865211_NZ_VNSU01000103_gene_copy-1	-	Negative	0	333	#808080	
Klebsiella_michiganensis_strain_620264432508_NZ_VNSV01000104_gene_copy-1	-	Negative	0	334	#808080	
Klebsiella_grimontii_strain_620262936017_NZ_VNST01000073_gene_copy-1	+	Positive	1	335	#000000	
Klebsiella_michiganensis_strain_620262927814_NZ_VNSS01000052_gene_copy-1	-	Negative	0	336	#808080	
Klebsiella_michiganensis_strain_620262455609_NZ_VNSQ01000094_gene_copy-1	-	Negative	0	337	#808080	
Klebsiella_grimontii_strain_620260661315_NZ_VNSO01000035_gene_copy-1	+	Positive	1	338	#000000	
Klebsiella_grimontii_strain_620259814713-17_NZ_VNSM01000072_gene_copy-1	+	Positive	1	339	#000000	
Klebsiella_michiganensis_strain_620260277613_NZ_VNSN01000076_gene_copy-1	-	Negative	0	340	#808080	
Klebsiella_grimontii_strain_620262140113_NZ_VNSP01000080_gene_copy-1	-	Negative	0	341	#808080	
Klebsiella_grimontii_strain_620258715808_NZ_VNSL01000032_gene_copy-1	+	Positive	1	342	#000000	
Klebsiella_grimontii_strain_620257851413_NZ_VNSK01000043_gene_copy-1	+	Positive	1	343	#000000	
Klebsiella_michiganensis_strain_620256896681_NZ_VNSJ01000077_gene_copy-1	-	Negative	0	344	#808080	
Klebsiella_grimontii_strain_620256532320_NZ_VNSI01000048_gene_copy-1	+	Positive	1	345	#000000	
Klebsiella_grimontii_strain_620255534809-17_NZ_VNSH01000041_gene_copy-1	+	Positive	1	346	#000000	
Klebsiella_grimontii_strain_620206143210_NZ_VNSG01000107_gene_copy-1	+	Positive	1	347	#000000	
Klebsiella_michiganensis_strain_620203084113_NZ_VNSF01000075_gene_copy-1	-	Negative	0	348	#808080	
Klebsiella_oxytoca_strain_608815-17_NZ_VNRZ01000091_gene_copy-1	+	Positive	1	349	#000000	
Klebsiella_oxytoca_strain_608715-17_NZ_VNRX01000168_gene_copy-1	+	Positive	1	350	#000000	
Klebsiella_oxytoca_strain_608668-17_NZ_VNRW01000213_gene_copy-1	+	Positive	1	351	#000000	
Klebsiella_oxytoca_strain_608431-17_NZ_VNRV01000165_gene_copy-1	-	Negative	0	352	#808080	
Klebsiella_oxytoca_strain_608110-17_NZ_VNRR01000114_gene_copy-1	-	Negative	0	353	#808080	
Klebsiella_oxytoca_strain_606250-17_NZ_VNRN01000044_gene_copy-1	-	Negative	0	354	#808080	
Klebsiella_grimontii_strain_606641-17_NZ_VNRO01000077_gene_copy-1	+	Positive	1	355	#000000	
Klebsiella_michiganensis_strain_605924-17_NZ_VNRM01000095_gene_copy-1	-	Negative	0	356	#808080	
Klebsiella_grimontii_strain_605112-17_NZ_VNRK01000043_gene_copy-1	+	Positive	1	357	#000000	
Klebsiella_michiganensis_strain_603572-17_NZ_VNRJ01000073_gene_copy-1	-	Negative	0	358	#808080	
Klebsiella_michiganensis_strain_602734-17_NZ_VNRI01000087_gene_copy-1	+	Positive	1	359	#000000	
Klebsiella_grimontii_strain_502988-17_NZ_VNRE01000053_gene_copy-1	+	Positive	1	360	#000000	
Klebsiella_oxytoca_strain_502954-17_NZ_VNRD01000054_gene_copy-1	-	Negative	0	361	#808080	
Klebsiella_michiganensis_strain_502761-17_NZ_VNRB01000061_gene_copy-1	-	Negative	0	362	#808080	
Klebsiella_oxytoca_strain_502573-2009_NZ_VNQY01000064_gene_copy-1	-	Negative	0	363	#808080	
Klebsiella_oxytoca_strain_502610-17_NZ_VNQZ01000066_gene_copy-1	-	Negative	0	364	#808080	
Klebsiella_grimontii_strain_502310-17_NZ_VNQW01000106_gene_copy-1	+	Positive	1	365	#000000	
Klebsiella_michiganensis_strain_501671-17_NZ_VNQV01000122_gene_copy-1	-	Negative	0	366	#808080	
Klebsiella_michiganensis_strain_500137-17_NZ_VNQT01000087_gene_copy-1	-	Negative	0	367	#808080	
Klebsiella_grimontii_strain_500013-17_NZ_VNQS01000093_gene_copy-1	+	Positive	1	368	#000000	
Klebsiella_oxytoca_strain_404821-16_NZ_VNQQ01000149_gene_copy-1	+	Positive	1	369	#000000	
Klebsiella_oxytoca_strain_404813-5-17_NZ_VNQO01000067_gene_copy-1	+	Positive	1	370	#000000	
Klebsiella_grimontii_strain_402620-12_NZ_VNPO01000137_gene_copy-1	+	Positive	1	371	#000000	
Klebsiella_grimontii_strain_402496-14_NZ_VNPM01000094_gene_copy-1	+	Positive	1	372	#000000	
Klebsiella_oxytoca_strain_400125-17_NZ_VNOE01000054_gene_copy-1	+	Positive	1	373	#000000	
Klebsiella_oxytoca_strain_400086-17_NZ_VNOD01000055_gene_copy-1	+	Positive	1	374	#000000	
Klebsiella_michiganensis_strain_400041-17_NZ_VNOC01000068_gene_copy-1	-	Negative	0	375	#808080	
Klebsiella_grimontii_strain_40-2021-2_NZ_VNOB01000115_gene_copy-1	+	Positive	1	376	#000000	
Klebsiella_grimontii_strain_170079723-17_NZ_VNNQ01000149_gene_copy-1	+	Positive	1	377	#000000	
Klebsiella_grimontii_strain_170067317-17_NZ_VNNO01000101_gene_copy-1	+	Positive	1	378	#000000	
Klebsiella_michiganensis_strain_128489-17_NZ_VNMZ01000108_gene_copy-1	-	Negative	0	379	#808080	
Klebsiella_michiganensis_strain_126192-17_NZ_VNMX01000061_gene_copy-1	-	Negative	0	380	#808080	
Klebsiella_michiganensis_strain_109680-17_NZ_VNMN01000088_gene_copy-1	-	Negative	0	381	#808080	
Klebsiella_grimontii_strain_BEITU-N349_NZ_JACLVA010000040_gene_copy-1	+	Positive	1	382	#000000	
Klebsiella_michiganensis_strain_BEITU-N172_NZ_JACLVI010000066_gene_copy-1	-	Negative	0	383	#808080	
Klebsiella_michiganensis_strain_53828CZ_NZ_CP085764_consensus-1	-	Negative	0	384	#808080	
Klebsiella_michiganensis_strain_53828CZ_NZ_CP085764_consensus-2	-	Negative	0	385	#808080	
Klebsiella_oxytoca_strain_Kox71_NZ_CP089392_consensus-2	+	Positive	1	386	#000000	
Klebsiella_oxytoca_strain_Kox71_NZ_CP089392_consensus-3	+	Positive	1	387	#000000	
Klebsiella_michiganensis_strain_Kox58_NZ_CP089395_consensus-1	-	Negative	0	388	#808080	
Klebsiella_michiganensis_strain_Kox58_NZ_CP089395_consensus-2	-	Negative	0	389	#808080	
Klebsiella_michiganensis_strain_Kox58_NZ_CP089395_consensus-4	-	Negative	0	390	#808080	
Klebsiella_michiganensis_strain_Kox58_NZ_CP089395_consensus-5	-	Negative	0	391	#808080	
Klebsiella_pasteurii_strain_Kox205_NZ_CP089403_consensus-3	+	Positive	1	392	#000000	
Klebsiella_oxytoca_strain_Kox100_NZ_CP089411_consensus-2	+	Positive	1	393	#000000	
Klebsiella_michiganensis_strain_K92_NZ_CP089315_consensus-1	-	Negative	0	394	#808080	
Klebsiella_michiganensis_strain_8-1_NZ_CP089448_consensus-1	-	Negative	0	395	#808080	
Klebsiella_oxytoca_strain_KPN101_NZ_JAJRNI010000104_gene_copy-1	+	Positive	1	396	#000000	
Klebsiella_oxytoca_strain_MVC303_NZ_JAEHKL010000029_gene_copy-1	+	Positive	1	397	#000000	
Klebsiella_michiganensis_strain_KM41_NZ_CP090078_consensus-2	-	Negative	0	398	#808080	
Klebsiella_oxytoca_strain_KONSF-1_NZ_CP090245_consensus-1	-	Negative	0	399	#808080	
Klebsiella_michiganensis_strain_INSAq73_NZ_JAKCMN010000114_gene_copy-1	-	Negative	0	400	#808080	
Klebsiella_michiganensis_strain_MIN-086_NZ_CP086124_consensus-1	+	Positive	1	401	#000000	
Klebsiella_michiganensis_strain_KO_408_NZ_CP091470_consensus-1	-	Negative	0	402	#808080	
Klebsiella michiganensis strain KO 408 NZ CP091470 consensus-1(2)	-	Negative	0	403	#808080	
Klebsiella_michiganensis_strain_KO_408_NZ_CP091470_consensus-2	-	Negative	0	404	#808080	
Klebsiella_michiganensis_strain_YL6-1_NZ_CP084415_consensus-1	-	Negative	0	405	#808080	
Klebsiella_michiganensis_strain_YL9_NZ_CP084542_consensus-1	-	Negative	0	406	#808080	
Klebsiella_michiganensis_strain_B199A_NZ_JAKSGB010000049_gene_copy-1	-	Negative	0	407	#808080	
Klebsiella_michiganensis_strain_E2_NZ_JAKPCC010000041_gene_copy-1	-	Negative	0	408	#808080	
Klebsiella_grimontii_strain_AGK0678_NZ_JAKWGI010000015_gene_copy-1	+	Positive	1	409	#000000	
Klebsiella_grimontii_strain_AGK0556_NZ_JAKWHF010000008_gene_copy-1	+	Positive	1	410	#000000	
Klebsiella_grimontii_strain_AGK0569_NZ_JAKWHE010000078_gene_copy-1	+	Positive	1	411	#000000	
Klebsiella_grimontii_strain_AGK0542_NZ_JAKWHG010000041_gene_copy-1	+	Positive	1	412	#000000	
Klebsiella_grimontii_strain_AGK0540_NZ_JAKWHI010000019_gene_copy-1	+	Positive	1	413	#000000	
Klebsiella_grimontii_strain_LC-1303-2020_NZ_CP091752_consensus-1	+	Positive	1	414	#000000	
Klebsiella_michiganensis_strain_K342_NZ_CP093010_consensus-1	-	Negative	0	415	#808080	
Klebsiella_oxytoca_strain_C-21-18_NZ_CP093271_consensus-1	+	Positive	1	416	#000000	
Klebsiella_oxytoca_strain_2022EL-00172_NZ_ABFNOZ020000131_gene_copy-1	+	Positive	1	417	#000000	
Klebsiella_michiganensis_strain_fxq_NZ_CP094999_consensus-2	-	Negative	0	418	#808080	
Klebsiella_michiganensis_strain_CCBH27439_NZ_JALLLX010000105_gene_copy-1	-	Negative	0	419	#808080	
Klebsiella_michiganensis_strain_K254_NZ_CP095761_consensus-1	-	Negative	0	420	#808080	
Klebsiella_oxytoca_strain_CCBH28636_NZ_JAMKDS010000102_gene_copy-1	-	Negative	0	421	#808080	
Klebsiella_grimontii_strain_LH87-a_NZ_CP100482_consensus-1	+	Positive	1	422	#000000	
Klebsiella_michiganensis_strain_LH71_NZ_CP100497_consensus-1	-	Negative	0	423	#808080	
Klebsiella_michiganensis_strain_LH71_NZ_CP100497_consensus-2	-	Negative	0	424	#808080	
Klebsiella_michiganensis_strain_HOBD-7_NZ_CP092828_consensus-1	-	Negative	0	425	#808080	
Klebsiella_michiganensis_strain_HOBD-7_NZ_CP092828_consensus-2	-	Negative	0	426	#808080	
Klebsiella_michiganensis_strain_HOBD-7_NZ_CP092828_consensus-3	-	Negative	0	427	#808080	
Klebsiella_michiganensis_strain_17103428_NZ_JADZLY010000057_gene_copy-1	-	Negative	0	428	#808080	
Klebsiella_grimontii_strain_MIR_NZ_JANTNQ010000073_gene_copy-1	+	Positive	1	429	#000000	
Klebsiella_michiganensis_strain_5088_NZ_CP103554_consensus-1	-	Negative	0	430	#808080	
Klebsiella_oxytoca_strain_ST34_NZ_CP103690_consensus-1	+	Positive	1	431	#000000	
Klebsiella_michiganensis_strain_BSI-KPN166_NZ_CP102103_consensus-2	-	Negative	0	432	#808080	
Klebsiella_michiganensis_strain_8BG_NZ_CP106658_consensus-1	-	Negative	0	433	#808080	
Klebsiella_oxytoca_strain_2022CK-00499_NZ_CP114308_consensus-1	+	Positive	1	434	#000000	
Klebsiella_michiganensis_strain_K5-3_NZ_CP106838_consensus-1	+	Positive	1	435	#000000	
Klebsiella_michiganensis_strain_K5-3_NZ_CP106838_consensus-2	+	Positive	1	436	#000000	
Klebsiella_michiganensis_strain_K5-3_NZ_CP106838_consensus-3	+	Positive	1	437	#000000	
Klebsiella_michiganensis_strain_K5-3_NZ_CP106838_consensus-4	+	Positive	1	438	#000000	
Klebsiella_michiganensis_strain_K5-3_NZ_CP106838_consensus-5	+	Positive	1	439	#000000	
Klebsiella_oxytoca_strain_TYL-T1_NZ_CP107040_consensus-1	+	Positive	1	440	#000000	
Klebsiella_oxytoca_strain_LZSYXJAT008_NZ_JAOWLF010000058_gene_copy-1	-	Negative	0	441	#808080	
Klebsiella_oxytoca_strain_AAHC-1_NZ_JAPDEA010000030_gene_copy-1	+	Positive	1	442	#000000	
Klebsiella_michiganensis_strain_MX581_NZ_CP110123_consensus-1	-	Negative	0	443	#808080	
Klebsiella_michiganensis_strain_NUBL-21980_NZ_BQUK01000065_gene_copy-1	-	Negative	0	444	#808080	
Klebsiella_michiganensis_strain_NUBL-17187_NZ_BQUL01000090_gene_copy-1	-	Negative	0	445	#808080	
Klebsiella_grimontii_strain_46493_NZ_JAKSEQ010000065_gene_copy-1	+	Positive	1	446	#000000	
Klebsiella_michiganensis_strain_MX578_NZ_JAPCZC010000054_gene_copy-1	-	Negative	0	447	#808080	
Klebsiella_michiganensis_strain_MX518_NZ_JAPCZD010000056_gene_copy-1	-	Negative	0	448	#808080	
Klebsiella_michiganensis_strain_1060_21_NZ_JAOCNS010000065_gene_copy-1	-	Negative	0	449	#808080	
Klebsiella_michiganensis_strain_1060_21_NZ_JAOCNS020000001_consensus-1	-	Negative	0	450	#808080	
Klebsiella_michiganensis_strain_1060_21_NZ_JAOCNS020000001_consensus-2	-	Negative	0	451	#808080	
Klebsiella_oxytoca_strain_14/F0005_NZ_JAPJIZ010000038_gene_copy-1	-	Negative	0	452	#808080	
Klebsiella_oxytoca_strain_17KM1096_NZ_JAPJJA010000037_gene_copy-1	+	Positive	1	453	#000000	
Klebsiella_oxytoca_strain_09KM0284_NZ_JAPJIY010000043_gene_copy-1	+	Positive	1	454	#000000	
Klebsiella_grimontii_strain_20M0142_NZ_JAPJJD010000054_gene_copy-1	+	Positive	1	455	#000000	
Klebsiella_grimontii_strain_08KM1900_NZ_JAPJJC010000037_gene_copy-1	+	Positive	1	456	#000000	
Klebsiella_michiganensis_strain_15A0136_NZ_JAPJJE010000061_gene_copy-1	-	Negative	0	457	#808080	
Klebsiella_pasteurii_strain_15Km1352_NZ_JAPJJB010000031_gene_copy-1	+	Positive	1	458	#000000	
Klebsiella_michiganensis_strain_ZH142-C_NZ_JAPJJH010000053_gene_copy-1	+	Positive	1	459	#000000	
Klebsiella_michiganensis_strain_17KM0578_NZ_JAPJJG010000066_gene_copy-1	-	Negative	0	460	#808080	
Klebsiella_oxytoca_strain_08KM1888_NZ_JAPJJK010000053_gene_copy-1	+	Positive	1	461	#000000	
Klebsiella_oxytoca_strain_7802.78_NZ_JAPJJM010000036_gene_copy-1	+	Positive	1	462	#000000	
Klebsiella_oxytoca_strain_7510.48_NZ_JAPJJP010000047_gene_copy-1	+	Positive	1	463	#000000	
Klebsiella_oxytoca_strain_7610.07_NZ_JAPJJO010000037_gene_copy-1	-	Negative	0	464	#808080	
Klebsiella_oxytoca_strain_8005.38-2_NZ_JAPJJQ010000041_gene_copy-1	+	Positive	1	465	#000000	
Klebsiella_oxytoca_strain_8005.38-1_NZ_JAPJJR010000041_gene_copy-1	+	Positive	1	466	#000000	
Klebsiella_oxytoca_strain_8108.57_NZ_JAPJJT010000039_gene_copy-1	-	Negative	0	467	#808080	
Klebsiella_oxytoca_strain_8306.21_NZ_JAPJJU010000036_gene_copy-1	-	Negative	0	468	#808080	
Klebsiella_oxytoca_strain_8111.31_NZ_JAPJJS010000069_gene_copy-1	-	Negative	0	469	#808080	
Klebsiella_oxytoca_strain_8309.06_NZ_JAPJJX010000036_gene_copy-1	-	Negative	0	470	#808080	
Klebsiella_michiganensis_strain_7202.3_NZ_JAPJJZ010000042_gene_copy-1	-	Negative	0	471	#808080	
Klebsiella_michiganensis_strain_8011.16_NZ_JAPJKB010000064_gene_copy-1	-	Negative	0	472	#808080	
Klebsiella_oxytoca_strain_KM57/09_NZ_JAPJKE010000056_gene_copy-1	-	Negative	0	473	#808080	
Klebsiella_oxytoca_strain_13KM1040_NZ_JAPJKF010000045_gene_copy-1	-	Negative	0	474	#808080	
Klebsiella_oxytoca_strain_KM24/09_NZ_JAPJKD010000052_gene_copy-1	-	Negative	0	475	#808080	
Klebsiella_oxytoca_strain_13KM0084_NZ_JAPJKG010000046_gene_copy-1	-	Negative	0	476	#808080	
Klebsiella_oxytoca_strain_15KM0222_NZ_JAPJKH010000053_gene_copy-1	-	Negative	0	477	#808080	
Klebsiella_oxytoca_strain_8212.48_NZ_JAPJKJ010000095_gene_copy-1	-	Negative	0	478	#808080	
Klebsiella_michiganensis_strain_1312240753_NZ_JAPJKK010000044_gene_copy-1	-	Negative	0	479	#808080	
Klebsiella_oxytoca_strain_7407.04_NZ_JAPJKI010000051_gene_copy-1	+	Positive	1	480	#000000	
Klebsiella_michiganensis_strain_5401.38_NZ_JAPJKL010000043_gene_copy-1	-	Negative	0	481	#808080	
Klebsiella_michiganensis_strain_7907.29_NZ_JAPJKM010000049_gene_copy-1	-	Negative	0	482	#808080	
Klebsiella_michiganensis_strain_X_33_NZ_JAIUCN010000001_consensus-1	-	Negative	0	483	#808080	
Klebsiella_oxytoca_strain_S42_CRE27b_NZ_JAHLSX010000001_consensus-1	+	Positive	1	484	#000000	
Klebsiella_michiganensis_strain_S17_CRE17_NZ_JAHBNO010000001_consensus-1	-	Negative	0	485	#808080	
Klebsiella_huaxiensis_strain_ZR-9_NZ_JAPQEX020000001_consensus-1	-	Negative	0	486	#808080	1
Klebsiella_michiganensis_strain_2022CK-00497_NZ_CP114156_consensus-1	+	Positive	1	487	#000000	
Klebsiella_michiganensis_strain_2022CK-00497_NZ_CP114156_consensus-2	+	Positive	1	488	#000000	
Klebsiella_michiganensis_strain_2022CK-00496_NZ_CP114149_consensus-2	-	Negative	0	489	#808080	
Klebsiella_michiganensis_strain_NR2144_NZ_JAIPKO010000001_consensus-1	+	Positive	1	490	#000000	
Klebsiella_michiganensis_strain_NR1295_NZ_JAIPKU010000002_consensus-1	-	Negative	0	491	#808080	
Klebsiella_michiganensis_strain_S4_CRE4_NZ_CP074449_consensus-1	-	Negative	0	492	#808080	
Klebsiella_oxytoca_strain_AHC-6_NZ_CP098757_consensus-1	+	Positive	1	493	#000000	
Klebsiella_michiganensis_strain_2563_NZ_CP116214_consensus-1	-	Negative	0	494	#808080	
Klebsiella_michiganensis_strain_2563_NZ_CP116214_consensus-2	-	Negative	0	495	#808080	
Klebsiella_grimontii_strain_2022CK-00781_NZ_CP117730_consensus-1	-	Negative	0	496	#808080	
