Species	SRR14527063	SRR14527064	SRR14527065	SRR14527066	SRR14527067	SRR14527068	SRR14527069	SRR14527070	SRR14527071	SRR14527072	SRR14527073	SRR14527074	SRR14527075	SRR14527076	SRR14527077	SRR14527078	SRR14527079	SRR14527080	SRR14527081	SRR14527082	SRR14527083	SRR14527084	SRR14527085	SRR14527086	SRR14527087	SRR14527088	SRR14527089	SRR14527090	SRR14527091	SRR14527092	SRR14527093	SRR14527094	SRR14527095	SRR14527096	SRR14527097	SRR14527098	SRR14527099	SRR14527100	SRR14527101	SRR14527102	SRR14527103	SRR14527104	SRR14527105	SRR14527106	SRR14527107	SRR14527108	SRR14527109	SRR14527110	SRR14527111	SRR14527112	SRR14527113	SRR14527114	SRR14527115	SRR14527116	SRR14527117	SRR14527118	SRR14527119	SRR14527120	SRR14527121	SRR14527122	SRR14527123	SRR14527124	SRR14527125	SRR14527126	SRR14527127	SRR14527128	SRR14527129	SRR14527130	SRR14527131	SRR14527132	SRR14527133	SRR14527134	SRR14527135	SRR14527136	SRR14527137	SRR14527138	SRR14527139	SRR14527140	SRR14527141	SRR14527142	SRR14527143	SRR14527144	SRR14527145	SRR14527146	SRR14527147	SRR14527148	SRR14527149	SRR14527150	SRR14527151	SRR14527152	SRR14527153	SRR14527155	SRR14527156	SRR14527157	SRR14527158	SRR14527159	SRR14527160	SRR14527161	SRR14527162	SRR14527163	SRR14527164	SRR14527165	SRR14527166	SRR14527167	SRR14527168	SRR14527169	SRR14527170	SRR14527171	SRR14527172	SRR14527173	SRR14527174	SRR14527175	SRR14527176	SRR14527177	SRR14527178	SRR14527179	SRR14527180	SRR14527181	SRR14527182	SRR14527183	SRR14527184	SRR14527185	SRR14527186	SRR14527187	SRR14527188	SRR14527190	SRR14527191	SRR14527192	SRR14527193	SRR14527194	SRR14527195	SRR14527196	SRR14527197	SRR14527198	SRR14527199	SRR14527201	SRR14527202	SRR14527203	SRR14527204	SRR14527205	SRR14527206
Klebsiella_grimontii	0.0	0.0005515945167419151	0.0	0.04594980034227039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007209668544975051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017168266176798805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006893356805336793	0.0	0.0006662047646964771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010198622350030095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021475686454977758	0.0	0.00024040484175351292	0.0	0.0	0.0	0.05430809399477807	0.0	0.0	0.0	0.0	0.0	0.0	0.0029144734517963754	0.0	0.0	0.0	0.0	0.0	0.0	0.0033629196758365953	0.10781549729698309	0.0	0.0	0.0	0.0	0.10942127709986968	0.0	0.0	0.0	0.008926277934754688	0.0	0.0	0.00033274794343284963	0.0	0.0
Klebsiella_huaxiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.069043998220622e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_michiganensis	0.7575991023429519	0.03046027498008131	0.0019059627310979812	0.0	0.004592390548025272	0.027299703264094956	0.07178696372675382	0.9990986931050022	0.000552242102937928	0.002019527398785103	0.0	0.5698894177263147	0.0	0.0007042399386896995	0.0	0.0	0.013718765311121999	0.0	0.0	0.005237926136363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004699731234120049	0.0	0.0	0.0	0.0	0.0	0.46589637050107197	0.0	0.0	0.0	0.0	0.016018203528060018	0.02012727541808495	0.0	0.0	0.001319090044113831	0.008828899623269467	0.00029479302426612053	0.001754442964358816	1.8591188348759253e-05	0.0004589760003865061	0.0	0.0024035572647518326	0.0006957126706670146	0.0	0.0	0.0006598024065424617	0.0	0.013596687555953446	0.005209551553296902	0.0	0.00042620216807189845	0.0	0.0	0.0	0.0	0.002648376317722396	0.9015628333688926	0.0	0.0	0.37331219066839655	0.00034625439310261247	0.005723613938209153	0.25247436069685164	0.0004641511494566701	0.0007653800008274378	0.39251645841730487	0.0	0.0	0.0	0.0	0.0	0.2011888070459527	0.0	0.002082643063378615	0.0002578998805516343	0.0	0.0	0.0	0.0	0.000320279516669093	0.0	0.00013676148796498905	0.0	0.0	0.0008746846089150547	0.7185848993513008	0.5140386178590941	0.0	0.0	0.0	0.0	0.005122444394518086	0.0	0.0	0.00030239458713689026	0.00030127168363301937	0.0027215832842110545	0.003742905353581838	0.0	0.0012741456612936184	0.0018446828964119619	0.0	0.0	0.0	0.0004393480075567857	0.037761877456724255	0.667545803989787	0.00022399889723619823	0.00029308323563892143	0.00019745935628249852	0.009803228883315081	0.0	0.00026182995334666283	0.0	0.0	0.0	0.0	0.01437050921587004	0.009504156251816543	0.17085622329504466	0.08045977011494253	0.0	0.0	0.014394029143466413	0.0027535638984170943	0.00011264523188825593	0.03661897434719703	0.31547007449267916	0.46583889396355527	0.0022946387278095985	0.5539883538219799	0.00853759294960066	0.5663630607374215
Klebsiella_oxytoca	0.0	0.05468957486363358	0.09330420631313502	0.0	0.0037574104483843137	0.020975519287833828	0.09466488676118578	0.0	0.00023930491127310214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007989973366755444	0.0	0.0	0.34590357882283346	0.0024306874287884543	0.0	0.0	0.00022283991883935588	0.001392150285139215	0.0	0.02616404602839942	0.0	0.0	0.0	0.0	0.0	0.0	0.05485840448780048	0.0	0.0047176042118770405	0.0	0.016261569068419687	0.001548524279473964	0.0	0.00488969752103707	0.0	0.002162018528136437	0.0	0.23745428949130426	0.003217671101834942	0.0	0.0	0.00045144375184484224	0.0	0.0	0.12053201216270812	0.0	0.3150931159084592	0.6931070439754055	0.43195384533390185	0.36156601842374614	0.0	0.02866660459534672	0.0	0.0	0.8618578232045947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030900325970744935	0.5477950063887834	0.0008735319809764147	0.7604671628656235	0.0	0.0	0.0	0.0	0.0024025409925073297	0.0	0.0	0.0	0.0	0.013112049303634687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006767330710992683	0.0	0.03777889668628253	0.9240288371793633	0.00017224352938474612	0.00414204983303365	0.0	0.0	0.020038820593400498	0.0	0.006900134755572874
Shared_G	0.0	0.0	0.0	0.10422133485453508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006071299827347411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002517905102954342	0.0	0.0	0.08946539423700546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005134382590493493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023908245836955794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029145574474612673	0.0	0.00036060726263026935	0.0	0.0	0.0	0.03105513745968361	0.0	0.0	0.0	0.0	0.0	0.0	0.005811283428127319	0.0	0.0	0.0	0.0	0.0	0.00021511158913686476	0.007093371556682654	0.22154566064058595	0.0	0.0	0.0	0.0	0.21795403388224144	0.0	0.0	0.0	0.021962496789108655	0.0	0.0	0.0014049357611609207	0.0	0.0
Shared_M	0.0	0.013013544709799997	5.864500711070711e-05	0.0	0.0	0.0003338278931750742	0.0007825446510771497	0.0	0.002190560341653781	0.0	0.0	0.0	0.0	0.0007456658174361524	0.0	0.0	0.0	0.0	0.0	0.0005104758522727273	0.0	0.0	0.0	0.0	0.0006901311249137336	1.26598303582732e-05	0.0	0.0	0.0	5.0318685005031866e-05	0.0	0.00010160794574135698	0.0	0.0028838674179900202	0.0	0.0	0.0	0.0	0.006082862099263298	0.0	0.0004340195874926877	0.0	0.0027030533690857194	0.0002657914808052326	0.0	0.0006822833750284285	0.0	0.0004468976845868612	0.0	0.03189863855649218	0.0005435255239586051	0.0	0.0014987630690333881	0.010522112062229786	0.0	0.015331244404655327	0.018105849582172703	0.0	0.030890391920689337	0.0926072417388803	0.16812343441880295	0.060644831115660186	0.0	0.0005793323195017742	0.0	0.0	0.0	0.0	0.0	0.17086196819766622	0.0	0.0	0.0	0.0	4.680685580016905e-06	0.0021583727596090757	0.0	0.0	0.0	0.0018365291573688265	0.0	0.0	0.00602671299815398	0.0	0.0	0.07688494030857097	0.0	6.793807929344398e-05	0.0	0.0	0.0	0.0	0.0	0.004530863371898616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0890167203558828	0.0	0.00074525500943589	0.0009613136220738393	0.0	0.0	0.018614652127169406	0.0	0.11498092792500811	0.0	0.0	0.0	0.0	0.0004945773130321122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0817934631818434	0.0	0.0	0.00014803535930296493	0.0	0.003949397362872518	0.002816130797206398	0.3529958891210987	0.039510017980991526	0.0548838073415801	0.0	0.003530825399759682	0.0	0.002240514344162486
Shared_M-G-P	0.0	0.014668328260025742	0.0003518700426642427	0.2888904734740445	0.0006123187397367029	0.0005192878338278931	0.0014269931872583318	0.0	0.00355275752890067	0.0	0.0	0.0	0.0	0.004246152571511423	0.0	0.0	0.0	0.0	0.0	0.0005104758522727273	0.0	0.0	0.0	0.0	0.004264024450359854	0.0003291555893151032	0.0	0.0	0.0	0.0	0.0	0.00015241191861203545	0.0	0.0	2.6440871988851284e-05	0.0	0.0	0.0	0.012931714240656048	0.0	0.0012077066782405224	0.0	0.00646570365885304	0.0004969145075923914	0.0	0.001754442964358816	0.0	0.00041066273718792654	0.0	0.05159063986128041	0.0013914253413340291	0.0	0.012279022734249445	0.07933255777611863	0.0	0.0225772157564906	0.02840800357226392	0.0	0.19193921986472715	0.15211606918125922	0.2911714544582423	0.09621289662231321	0.0	0.001779377838469735	0.0	0.0	0.0	0.0	0.0	0.15552510127169028	0.0	0.0	0.0	0.0	2.301337076841645e-05	0.004541216286217495	0.0	0.0	0.0	0.0	0.0	0.0	0.0376533825605386	0.0	0.0	0.49234521873636616	0.0	0.0002620468772747125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7265071329958582	0.0	0.0016107124397485365	0.001299072462261945	0.0	0.0	0.030855475349408693	0.0	0.06083950371053659	0.0	0.0	0.0	0.0	0.017575158088105416	0.0	0.0	0.0	0.0	0.00019361708993513826	0.0006632607331719996	0.017200507194442913	0.6208364820089519	0.08062815604017536	0.0	0.0	0.00029607071860592986	0.605422935671129	0.007473959152846398	0.007289755720768562	0.49228348988356335	0.09777164140765476	0.05023919741140406	0.0	0.0049542471577779836	0.0	0.002792525124608316
