Species	SRR17868041	SRR17868042	SRR17868043	SRR17868044	SRR17868045	SRR17868046	SRR17868047	SRR17868048	SRR17868049	SRR17868050	SRR17868051	SRR17868052	SRR17868053	SRR17868054	SRR17868055	SRR17868056	SRR17868057	SRR17868058	SRR17868059	SRR17868060	SRR17868061	SRR17868062	SRR17868063	SRR17868064	SRR17868065	SRR17868066	SRR17868067	SRR17868068	SRR17868069	SRR17868070	SRR17868071	SRR17868072	SRR17868073	SRR17868074	SRR17868075	SRR17868076	SRR17868077	SRR17868078	SRR17868079	SRR17868080	SRR17868081	SRR17868082	SRR17868083	SRR17868084	SRR17868085	SRR17868086	SRR17868087	SRR17868088	SRR17868089	SRR17868090	SRR17868091	SRR17868092	SRR17868093	SRR17868094
Klebsiella_michiganensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.575721286418858e-05	0.0	0.0006981400495284262	0.0	0.0019035608485122482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006028454304316373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02388344877000239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Klebsiella_oxytoca	0.0	0.0	0.0	0.0	0.11793701878029902	0.0	0.0	0.021209079428811967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025280859577206653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033638775018085365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shared_G	0.0	0.0	0.0	0.0049293518881019325	0.0	0.0	0.0	0.03386976653822491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014887055366282919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003022574855955417
Shared_M	0.0	0.0	0.0	0.0015126170053742392	0.0	0.0	0.000963808025177026	0.0021209079428811967	0.0	0.0	0.0	0.0	0.0015442068606904811	0.0	0.0002897939828231203	0.0	0.0010231639560753334	0.0	0.0	0.0004521014644858153	0.0	0.06493256262042389	0.0003484576165499028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011092355919942126	0.02429199594108422	0.0	0.0	0.0006688677634200489	0.0002864391521401097	0.009530170728528606	0.026559293143632378	0.0	0.0	0.0	0.0	0.009787707988794763	0.0	0.0	0.009075710532600907	0.0	0.0	0.0	0.0	0.0	0.00830106769916696	0.0	0.0
Shared_M-G-P	0.0	0.0	0.032599847053309323	0.017243833861266326	0.0	0.0	0.0006294256490952006	0.001651393970792993	0.0	0.004649764505461469	0.0	0.0	0.006145313017033547	0.010840571330959357	0.0005005532430581169	0.0	0.003902299739450109	0.0	0.00029380080305552837	0.006490885311546349	0.0	0.08329479768786127	0.00036679749110516086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000759585242343863	0.00010762276682758833	0.0	0.0	0.00321625775601981	0.0015549553973320238	0.029942656066727486	0.022993703690819912	0.0	0.0	0.0	0.0	0.04397718451517095	0.0	0.0	0.020006981315794307	0.0	0.0	0.0	0.0	0.0	0.05488091047753139	0.0	0.0017379805421743647
